season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2008,6,6,95,19.0,96.93,5,1,0,0,26*,0,0,0.0,0.0,0.0,,26,1,0,0,1,0,4.114790089684276,0.0,7.1594970197685655,4.1954,Average,169,157,4697,0,37,2,0,13
2010,7,7,111,15.85,93.27,7,0,0,0,45,0,0,0.0,0.0,0.0,,45,0,0,0,1,0,4.029415953497283,0.0,7.1594970197685655,4.0457,Average,169,157,4697,0,37,2,0,13
2011,16,13,312,34.66,128.39,21,14,2,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,1,0,6.967878229539856,0.0,7.1594970197685655,6.3671,Good,169,157,4697,0,37,2,0,13
2012,16,13,319,39.87,161.11,26,15,3,0,64*,0,0,0.0,0.0,0.0,,64,1,0,0,1,0,7.513591812869125,0.0,7.1594970197685655,6.8894,Good,169,157,4697,0,37,2,0,13
2013,14,14,360,36.0,164.38,34,15,2,0,64,0,0,0.0,0.0,0.0,,64,0,0,0,1,0,7.568195076315677,0.0,7.1594970197685655,6.7006,Good,169,157,4697,0,37,2,0,13
2014,14,13,395,35.9,158.63,26,24,3,0,89*,0,0,0.0,0.0,0.0,,89,1,0,0,1,0,7.644560876472512,0.0,7.1594970197685655,6.8006,Good,169,157,4697,0,37,2,0,13
2015,16,14,513,46.63,175.08,60,22,2,1,133*,0,0,0.0,0.0,0.0,,133,1,0,0,1,0,8.518299178012366,0.0,7.1594970197685655,7.783,Very Good,169,157,4697,0,37,2,0,13
2016,16,16,687,52.84,168.79,57,37,6,1,129*,0,0,0.0,0.0,0.0,,129,1,0,0,1,0,9.053870469916433,0.0,7.1594970197685655,8.1539,Very Good,169,157,4697,0,37,2,0,13
2017,9,9,216,27.0,132.51,12,16,1,0,89*,0,0,0.0,0.0,0.0,,89,1,0,0,1,0,6.14957595362985,0.0,7.1594970197685655,5.69,Good,169,157,4697,0,37,2,0,13
2018,12,11,480,53.33,174.54,39,30,6,0,90*,0,0,0.0,0.0,0.0,,90,1,0,0,1,0,8.609305308115927,0.0,7.1594970197685655,7.764,Very Good,169,157,4697,0,37,2,0,13
